"type","name_en","name_th","effect_th","code"
"counter","No One Likes You","ไม่มีใครชอบนาย","หยุดไพ่ Action ที่กำลังทำงานอยู่ และนำไพ่ใบนั้นออกจากเกมตลอดเกมที่เหลือ","C25"
"counter","No U","นายต่างหาก","หยุดผู้เล่นคนอื่นจากการขโมยไพ่ของคุณ แล้วขโมยไพ่จากผู้เล่นคนนั้นกลับในจำนวนเท่ากัน","C26"
"counter","NO!!!","ไม่!!!","หยุดไพ่ Action ของผู้เล่นคนอื่น แล้วขโมยไพ่ Action ใบนั้นมาเป็นของคุณ","C27"
"counter","Nope!","ไม่เอา!","หยุดผู้เล่นคนอื่นไม่ให้ขโมยไพ่ของคุณ","C28"
"counter","Not Today!","วันนี้ไม่ใช่วันของนาย!","หยุดไพ่ Action, Trap หรือ Counter ที่กำลังทำงานอยู่","C29"
"counter","Oh... Okay?","อ๋อ... โอเค?","หยุดการถูกบังคับให้ทิ้งไพ่ และจั่วไพ่ในจำนวนเท่ากันแทน","C30"
"counter","Out Of Muffins","มัฟฟินหมดแล้ว","หยุดไพ่ “Muffin Time” (หมายถึงไพ่ Action ชื่อ Muffin Time ไม่ใช่หยุดเกม)","C31"
"counter","Really Far Away","ไกลมาก ๆ","หยุดไพ่ Trap ที่กำลังทำงานอยู่ และคุณจะไม่ได้รับผลจาก Trap ทุกใบจนถึงเทิร์นถัดไปของคุณ","C32"
"counter","Shoot It Down","ยิงมันลงมา!","หยุดไพ่ “Magical Pony”","C33"
"counter","Static","ไฟฟ้าสถิต","เบี่ยงไพ่ Action หรือ Trap ที่ถูกใช้ใส่คุณ ให้ไปมีผลกับผู้เล่นคนถัดไปแทน","C34"
"counter","Stegosaurus","สเตโกซอรัส","เลือกผู้เล่นคนอื่น 1 คนให้รับผลของไพ่ Action หรือ Trap ที่ถูกใช้ใส่คุณแทน","C35"
"counter","Thanks, You Too","ขอบใจ นายด้วยนะ","ผลของไพ่ Trap ที่ถูกใช้เจาะจงใส่คุณ จะมีผลกับผู้เล่นที่ใช้ไพ่ใบนั้นด้วย","C36"
"counter","The Hole","หลุม","หยุดไพ่ Action ที่กำลังทำงานอยู่ และบังคับให้ผู้เล่นที่ใช้ไพ่ใบนั้นทิ้งไพ่ทั้งหมดในมือ","C37"
"counter","Tree Powers","พลังต้นไม้","หยุดผู้เล่นคนอื่นไม่ให้ขโมยไพ่ของคุณ แต่คุณต้องข้ามเทิร์นถัดไป","C38"
"counter","We Failed","เราพลาดแล้ว","เลือกผู้เล่นคนอื่น 1 คนให้ได้รับผลของไพ่ Action หรือ Trap ที่ถูกใช้ใส่คุณด้วย","C39"
"counter","Opposite Day","วันตรงข้าม","ผลของไพ่ Action ที่ถูกใช้เจาะจงใส่คุณ จะเปลี่ยนไปมีผลกับผู้เล่นที่ใช้ไพ่ใบนั้นแทน","C40"
"trap","Where Is It?","มันอยู่ไหน?","(Kickstarter-exclusive) Hide something belonging to another player. If they ask where it is, they discard 3 cards.","T01"
"trap","Sniper Pug","ปั๊กสไนเปอร์","(Kickstarter-exclusive) If another player forces specifically you to discard any cards, all other players discard 1 card each.","T02"
"trap","That's a Shame","น่าเสียดายจัง","(Kickstarter-exclusive) If another player forces you to discard any cards, all players must also discard the same amount.","T03"
"trap","Nice To Me","ดีกับฉันหน่อย","(Kickstarter-exclusive) If another player steals any cards from you, they discard 5 cards.","T04"
"trap","Needles","เข็ม","(Kickstarter-exclusive) If another player steals any of your cards, they discard 5 cards.","T05"
"trap","Inappropriate","ไม่สุภาพเลยนะ","(Kickstarter-exclusive) If another player swears, steal 3 of their cards.","T06"
"trap","Did Somebody Say _____?","เมื่อกี้ใครพูดว่า _____?","(Kickstarter-exclusive) If you successfully trick another player into repeating something you said, they discard 3 cards.","T07"
"trap","日本語テキスト","ข้อความภาษาญี่ปุ่น","(Kickstarter-exclusive) If you successfully trick another player into saying something in a foreign language, they discard 3 cards.","T08"
"trap","Card Sick","เมาไพ่","As soon as you exceed 10 cards, discard the extras.","T09"
"trap","Just Friends","เป็นแค่เพื่อนกันนะ","Ask another player to go out with you. If they refuse, steal 3 of their cards.","T10"
"trap","A Robbery","นี่คือการปล้น!","Call another player's phone and if they answer, steal 3 of their cards.","T11"
"trap","Gullible","หลอกง่ายจัง","Create a distraction and steal 1 card from every player you fooled.","T12"
"trap","Caught You","จับได้แล้ว!","If another player acknowledges you lying, steal 3 of their cards.","T13"
"trap","What Time Is It?","กี่โมงแล้ว?","If another player asks the time, steal 4 of their cards.","T14"
"trap","Catch!","รับนะ!","If another player catches something you throw at them, they discard 3 cards.","T15"
"trap","Do a Book","เปิดตำราหน่อย","If another player checks the rules, they discard 3 cards.","T16"
"trap","We There Yet?","ยังไม่จบอีกเหรอ?","If another player complains about the game taking too long, steal 3 of their cards.","T17"
"trap","Crybaby","ขี้บ่น","If another player complains, steal 3 of their cards.","T18"
"trap","Who Ate This?","ใครกินเนี่ย?","If another player eats any food, steal 3 of their cards.","T19"
"trap","Farting Butt","ก้นตด","If another player farts, burps, coughs, or sneezes, steal 3 of their cards.","T20"
"trap","Don't Cry","อย่าร้องสิ","If another player forces you to discard any cards, they must also discard the same amount.","T21"
"trap","Bad Direction","บอกผิดแล้ว","If another player gets the rules wrong, steal 3 of their cards.","T22"
"trap","You Fool","เจ้าโง่!","If another player is forced to discard any cards, take them for yourself.","T23"
"trap","Best Sarcasm","ประชดเก่ง","If another player is sarcastic, steal 3 of their cards.","T24"
"trap","Comedy","ตลกดีนะ","If another player laughs out loud, steal 3 of their cards.","T25"
"trap","Goodbye, World","ลาก่อน โลกนี้","If another player leaves the room, steal 5 of their cards.","T26"
"trap","Don't Think About Cats","อย่าคิดถึงแมว","If another player mentions a cat, they discard 3 cards.","T27"
"trap","Friends","เพื่อน","If another player mentions a friend who isn’t currently playing, steal 3 of their cards","T28"
"trap","Love you, Baby","รักนะ เบบี๋","If another player plays a card with ""baby"" in its title, steal 3 of their cards.","T29"
"trap","Baby on Fire","เด็กไฟลุก","If another player plays a card with ""baby"" in its title, they discard 3 cards.","T30"
"trap","What Have You Done?","นายทำอะไรลงไป?!","If another player plays an action card specifically on you, the same effect also applies to them.","T31"
"trap","Gonna Eat That?","จะกินนั่นไหม?","If another player puts down their hand, steal it.","T32"
"trap","Backstories","เรื่องเก่าเล่าใหม่","If another player recalls an event from over a year ago, they discard 3 cards.","T33"
"trap","Inanimate Object","วัตถุไร้ชีวิต","If another player refuses to answer a question from you, they discard 3 cards.","T34"
"trap","LOL Out Loud","ขำออกมาดัง ๆ","If another player says ""Muffin Time"", they discard 3 cards.","T35"
"trap","Magic Word","คำวิเศษ","If another player says ""please"", they discard 3 cards.","T36"
"trap","Named This Way","เรียกชื่อนี้แหละ","If another player says your first name, they discard 3 cards.","T37"
"trap","If You're Happy","ถ้าคุณมีความสุข","If another player sings out loud, steal 3 of their cards.","T38"
"trap","Super Guy","ยอดมนุษย์","If another player uses a counter card on you, it does nothing.","T39"
"trap","Tired?","ง่วงเหรอ?","If another player yawns, they discard 4 cards.","T40"
"trap","Countdown","นับถอยหลัง","If another players asks you how many cards you have, they discard 3 cards.","T41"
"trap","Jack in the Box","แจ็คอินเดอะบ็อกซ์","If any of your placed trap cards are activated, steal 1 card from all other players.","T42"
"trap","Upside Down","กลับตาลปัตร","If you activate another player's trap card, the effect applies to them instead.","T43"
"trap","Do An Internet","เล่นเน็ตหน่อย","If you catch another player browsing the internet, they discard 3 cards.","T44"
"trap","What a Twist","หักมุมซะงั้น!","If you have 0 cards, draw 10 cards.","T45"
"trap","Don't Beat Me","อย่าตีฉัน","If you have 0 cards, steal the entire hand of any other player.","T46"
"trap","High Five","ไฮไฟว์!","If you successfully high-five another player, they discard 5 cards.","T47"
"trap","Made Ya Jump","ตกใจล่ะสิ!","If you successfully scare another player, they discard 3 cards.","T48"
"trap","What?!","อะไรนะ?!","If you successfully trick another player into saying ""what"", they discard 3 cards.","T49"
"trap","Don't Touch","ห้ามแตะ!","Place this card face-down anywhere. If another player picks it up, they discard 5 cards.","T50"
"trap","Hello There","หวัดดี!","Say ""hello"" to another player and steal 3 of their cards if they say ""hello"" back.","T51"
"trap","On Your Face","แปะหน้าซะ","Stick this card to your forehead. If nobody mentions it by your next turn, all other players discard 3 cards.","T52"
"trap","Face in a Face","หน้าในหน้า","Stick this card to your forehead. If nobody mentions it by your next turn, all players draw 2 cards.","T53"
